name,utm_x,utm_y
7_WHIT9,549729.2157,4302314.329
8_WHIT9,549730.3283,4302314.346
9_WHIT9,549731.3561,4302314.352
10_WHIT9,549732.3186,4302314.245
11_WHIT9,549732.2668,4302314.987
12_WHIT9,549731.3894,4302315.057
13_WHIT9,549730.3328,4302315.116
14_WHIT9,549729.1548,4302315.014
15_WHIT9,549728.052,4302314.942
16_WHIT9,549728.0744,4302315.881
17_WHIT9,549729.0547,4302315.934
18_WHIT9,549730.2519,4302315.998
19_WHIT9,549731.3936,4302315.874
20_WHIT9,549732.2612,4302315.879
21_WHIT9,549732.2366,4302316.799
22_WHIT9,549731.2466,4302316.765
23_WHIT9,549730.1811,4302316.758
24_WHIT9,549729.0023,4302316.76
25_WHIT9,549727.9845,4302316.688
